Name,Energy (kcal),Fat (g),Protein (g),Carbohydrate (g),Calcium (mg),Zinc (mg),Phosporus (mg),Selenium (mcg),Magnesi (mg),Vitamin A (IU),Vitamin D3 (IU),Vitamin B2 (mcg),Natri (mg), Vitamin B12 (mcg),Vitamin D (IU),Vitamin B1 (mcg),Fresh Milk Rate,Xenlulose (g),Vitamin K2 (mcg),Vitamin C (mcg),GABA (mcg),Vitamin K1 (mcg) ,Axit Pantothenic (mcg),Axit Folic (mcg),Biotin (mcg),Vitamin PP (mcg),DHA (mg),Vitamin B6 (mcg),Iron (mg),Potassium (mg),Vitamin B3 (mcg),Iot (mcg),Lysin (mg),flavor
Sữa tươi tiệt trùng Vinamilk Green Farm (Có đường),74.6,3.8,3.0,7.1,110,0.0,80.0,0.0,0.0,145,0,125.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị có đường
Sữa tươi tiệt trùng Vinamilk Green Farm  (rất ít đường),71.0,3.8,3.0,6.2,110,0.0,80.0,0.0,0.0,145,0,125.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị ít đường
Sữa tươi tiệt trùng Vinamilk Green Farm (ít đường),74.6,3.8,3.0,7.1,110,0.0,80.0,0.0,0.0,145,0,125.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị ít đường
Sữa tươi tiệt trùng Vinamilk Green Farm Organic,62.8,3.6,3.1,4.5,110,0.0,90.0,0.0,0.0,0,0,110.0,40,0.2,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị organic
Sữa tươi thanh trùng Vinamilk Green Farm (Không đường),64.6,3.8,3.2,4.4,110,0.4,85.0,0.0,10.0,145,0,125.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị không đường
Sữa tươi thanh trùng Vinamilk Green Farm (Rất ít đường),71.4,3.8,3.1,6.2,110,0.35,85.0,0.0,10.0,145,0,125.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị ít đường
Sữa tươi tiệt trùng Vinamilk 100% (có đường),72.9,3.3,3.0,7.8,110,0.0,80.0,7.5,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị có đường
Sữa tươi tiệt trùng Vinamilk 100% (Không đường),60.3,3.5,3.1,4.1,110,0.0,80.0,7.5,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị không đường
Sữa tươi tiệt trùng Vinamilk 100% Socola,83.3,3.3,2.9,10.5,110,0.0,80.0,7.5,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị socola
Sữa tươi tiệt trùng Vinamilk 100%  (ít đường),68.5,3.3,3.0,6.7,110,0.0,80.0,7.5,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị ít đường
Sữa tươi tiệt trùng Vinamilk 100% (hương dâu),80.9,3.3,2.9,9.9,110,0.0,80.0,7.5,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị dâu
Sữa tươi tiệt trùng Vinamilk 100% (tách béo),37.0,1.0,3.0,4.0,110,0.0,90.0,7.5,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Tách béo
Sữa tươi tiệt trùng Vinamilk 100% (dừa),74.8,3.6,2.9,7.7,110,0.0,80.0,0.0,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị dừa
Sữa tươi tiệt trùng Vinamilk 100% (chuối) ,64.1,2.5,2.9,7.5,110,0.0,80.0,0.0,0.0,200,60,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị chuối
Sữa tươi tiệt trùng TH True Milk nguyên chất,60.0,3.3,3.0,4.6,104,0.32,0.0,0.0,8.0,118,0,0.0,0,0.0,16,27.0,0.97,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Nguyên bản
Sữa tươi tiệt trùng TH True Milk ít đường,70.0,3.2,2.9,7.4,104,0.32,0.0,0.0,8.0,118,0,0.0,0,0.0,16,27.0,0.97,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị ít đường
Sữa tươi tiệt trùng TH True Milk có đường,73.2,3.2,2.9,8.2,104,0.32,0.0,0.0,8.0,118,0,0.0,0,0.0,16,27.0,0.97,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị có đường
Sữa tươi hữu cơ TH True Milk Organic,60.9,3.3,3.1,4.7,100,0.0,0.0,0.0,0.0,80,0,0.0,0,0.0,0,21.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,organic
Sữa tươi TH True Milk HILO,60.0,3.3,3.0,4.6,104,0.32,0.0,0.0,8.0,118,0,145.0,0,0.0,16,27.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Nguyên bản
Sữa tươi tiệt trùng TH True Milk hương dâu,80.0,3.2,2.8,10.0,100,0.0,0.0,0.0,0.0,118,0,0.0,0,0.0,16,27.0,0.94,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị dâu
Sữa tươi tiệt trùng TH True Milk hương socola,83.5,3.5,3.0,10.0,100,0.0,0.0,0.0,0.0,118,0,0.0,0,0.0,16,27.0,0.9318,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị socola
Sữa tươi tiệt trùng TH True Milk gold,52.5,1.8,3.0,6.0,140,1.0,0.0,0.3,11.5,0,68,0.18,0,0.3,0,0.09,1.0,0.9,9,0,5,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Nguyên bản
Sữa tươi ngũ cốc TH True Milk Light Meal,73.1,3.5,2.8,7.6,104,0.0,0.0,0.0,0.0,118,0,0.0,0,0.0,0,25.0,0.97,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Nguyên bản
Sữa tươi thanh trùng TH True Milk ,62.7,3.5,3.2,4.6,104,0.32,0.0,0.0,8.0,118,0,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Nguyên bản
Sữa tươi TOPKID Vanila Organic,82.6,3.4,3.0,10.0,140,0.35,0.0,0.0,10.0,110,0,0.0,0,0.16,50,100.0,0.94,0.5,0,0,0,2.2,255,18,4.5,100,1.1,0.0,0.0,0,0.0,0.0,0,Vị organic
Sữa TH True Juice milk TOPKID cam,65.0,1.0,1.0,13.0,25,,0.0,0.0,0.0,0,0,0.0,0,0.16,0,0.0,0.0,0.0,0,0,0,0.0,0,28,0.0,0,0.0,120.0,0.0,0,0.0,0.0,0,Vị cam
Sữa TH True Juice milk TOPKID dâu,65.0,1.0,1.0,13.0,25,,0.0,0.0,0.0,0,0,0.0,0,0.16,0,0.0,0.0,0.0,0,0,0,0.0,0,28,0.0,0,0.0,120.0,0.0,0,0.0,0.0,0,Vị dâu 
Thức Uống Sữa Trái Cây Nho Tự Nhiên TH true JUICE milk MISTORI,47.8,0.6,0.6,10.0,25,0.0,0.0,0.0,0.0,0,0,0.0,10,0.0,0,0.0,0.2,0.0,0,0,0,0.0,0,28,0.0,0,0.0,120.0,0.0,0,0.0,0.0,0,Vị nho
Thức Uống Sữa Trái Cây Dâu Tự Nhiên TH true JUICE milk MISTORI,60.6,0.6,0.6,13.2,25,0.0,0.0,0.0,0.0,0,0,0.0,12,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,28,0.0,0,0.0,120.0,0.0,0,0.0,0.0,0,Vị dâu
Thức Uống Sữa Trái Cây Cam Tự Nhiên TH true JUICE milk MISTORI,59.8,0.6,0.6,13.0,25,0.0,0.0,0.0,0.0,0,0,0.0,12,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,28,0.0,0,0.0,120.0,0.0,0,0.0,0.0,0,Vị cam
Sữa Hạt và Gạo Lứt Đỏ TH true NUT,53.3,1.3,1.4,9.0,0,0.0,0.0,0.0,0.0,0,0,120.0,0,0.0,0,0.0,0.6,0.5,0,0,0,0.0,0,0,0.0,0,0.0,100.0,0.0,0,0.0,0.0,0,Vị gạo lứt
Sữa Hạt và Nghệ TH true NUT,38.3,1.5,1.2,5.0,40,0.5,30.0,0.0,10.0,0,0,0.0,0,0.0,50,0.0,0.6,0.0,0,0,0,0.0,0,0,0.0,0,0.0,100.0,0.0,0,0.0,0.0,0,Vị nghệ
Sữa Hạt và Gấc TH true NUT,34.5,1.5,0.75,4.5,0,0.0,0.0,0.0,0.0,400,0,0.0,0,0.0,0,0.0,0.6,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị gấc
Sữa Hạt Hạnh Nhân TH true NUT,35.5,1.5,1.1,4.4,0,0.0,0.0,0.0,0.0,0,0,120.0,0,0.0,0,0.0,0.6,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Vị hạnh nhân
Sữa Hạt Macca TH true NUT,39.8,2.2,0.8,4.2,0,0.0,0.0,3.0,0.0,0,0,0.0,0,0.0,0,0.0,0.6,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,1.5,100,0.0,0.0,0,Vị macca
Sữa Hạt Óc Chó TH true NUT,40.5,2.1,1.0,4.4,0,0.0,0.0,3.0,0.0,0,0,0.0,0,0.0,0,0.0,0.6,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,1.5,100,0.0,0.0,0,Vị óc chó
Sữa tươi Có đường cô gái Hà Lan,79.0,3.8,3.0,8.2,112,0.0,76.0,0.0,9.5,170,0,95.0,32,0.0,60,90.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,116,1000.0,0.0,0,Vị có đường
Sữa tươi không đường cô gái Hà Lan,50.0,1.5,3.0,11.5,112,0.0,82.0,1.0,0.0,46,0,95.0,32,0.0,60,20.0,0.93,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,116,0.0,7.0,0,Vị không đường
Sữa tươi ít đường cô gái Hà Lan,71.0,3.7,3.0,6.3,0,0.3,77.8,0.0,8.8,160,0,95.0,32,0.0,60,90.0,0.977,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,120,0.98,0.0,0,Vị ít đường
sữa tươi Cô Gái Hà Lan vị dâu,30.0,3.8,3.0,8.2,112,0.38,76.0,1.3,9.5,170,0,95.0,32,0.0,60,90.0,0.93,0.0,0,0,0,0.0,0,0,0.0,0,0.0,100.0,0.0,116,1000.0,7.0,0,Vị dâu
sữa tươi Cô Gái Hà Lan vị socola,40.0,3.8,3.0,11.0,112,0.38,68.0,1.0,10.0,95,0,95.0,32,0.0,60,20.0,0.93,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,116,1000.0,7.0,0,Vị socola
sữa tươi MLEKOVITA nguyên kem,63.0,3.5,3.2,4.7,105,0.0,0.0,0.0,0.0,200,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Nguyên bản
sữa tươi Dalat Milk thanh trùng nguyên chất,64.6,3.8,3.2,4.4,103,0.35,0.0,0.0,9.1,160,52,125.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,13.0,0,Nguyên bản
sữa tươi Dalat Milk thanh trùng có đường,78.4,3.6,3.0,8.5,103,0.35,0.0,0.0,9.1,150,52,115.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,7.2,0,Vị có đường
sữa tươi Dalat Milk thanh trùng hương dâu,86.1,3.7,3.2,10.0,103,0.3,0.0,0.0,10.0,150,52,115.0,0,0.0,0,0.0,0.97,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,10.5,0,Vị dâu
sữa tươi Dalat Milk thanh trùng hương socola,85.2,3.6,3.2,10.0,103,0.3,0.0,0.0,10.0,150,52,115.0,0,0.0,0,0.0,0.97,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,10.5,0,Vị socola
sữa tươi Dalat Milk tiệt trùng ít đường,65.0,3.8,3.2,10.0,103,0.3,0.0,0.0,10.0,150,52,115.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,10.0,0,Vị ít đường
sữa tươi Dalat Milk tiệt trùng có đường ,65.0,3.8,3.2,4.5,103,0.3,0.0,0.0,10.0,150,52,115.0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,13.0,0,Vị có đường
Sữa tươi Long Thành Tiệt Trùng,60.0,3.2,2.7,4.5,100,0.37,0.0,0.0,8.7,135,0,135.0,0,0.0,0,0.0,0.986,0.0,0,0,0,0.0,0,0,4.1,0,0.0,0.0,0.06,0,0.0,0.0,270,Nguyên bản
Sữa Devondale,64.3,3.4,3.3,5.1,120,0.0,0.0,0.0,0.0,0,0,0.0,50,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,Nguyên bản
Sữa Tươi Tươi Sạch NutiMilk – Sữa Tươi Tiệt Trùng Ít Đường,78.0,4.0,3.5,7.0,110,320.0,95.0,0.0,8.0,110,0,150.0,40,0.0,0,18.0,0.0,0.0,0,0,0,0.0,0,0,4.5,0,0.0,30.0,0.06,0,0.0,10.0,0,Vị ít đường
Sữa Tươi Tươi Sạch NutiMilk – Sữa Tươi Tiệt Trùng Có Đường,82.0,4.0,3.5,8.0,110,320.0,95.0,0.0,8.0,110,0,150.0,40,0.0,0,18.0,0.0,0.0,0,0,0,0.0,0,0,4.5,0,0.0,30.0,0.06,0,0.0,10.0,0,Vị có đường
Sữa Tươi Tươi Sạch NutiMilk – Sữa Tươi Tiệt Trùng Nguyên Chất,68.0,4.0,3.5,8.0,110,320.0,95.0,0.0,8.0,110,0,150.0,40,0.0,0,18.0,0.0,0.0,0,0,0,0.0,0,0,4.5,0,0.0,30.0,0.06,0,0.0,10.0,0,Nguyên bản
NutiMilk 100% Sữa New Zealand – Sữa Tiệt Trùng Có Đường,76.8,3.2,3.0,9.0,110,0.8,0.0,0.0,0.0,180,0,0.0,27,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0
NutiMilk 100% Sữa New Zealand – Sữa Tiệt Trùng Ít Đường,76.8,3.2,3.0,8.0,110,0.8,0.0,0.0,0.0,180,0,0.0,27,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0
NutiMilk 100% Sữa New Zealand – Sữa Tiệt Trùng Không Đường,60.0,3.2,3.0,4.8,110,0.8,0.0,0.0,0.0,180,0,0.0,27,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0
